code,title,class_kind,parent,module
1A00,Cholera,category,,MMS
1A11,Botulism,category,,MMS
1A31,Giardiasis,category,,MMS
1A32,Cryptosporidiosis,category,,MMS
1A33,Cystoisosporiasis,category,,MMS
1A34,Sarcocystosis,category,,MMS
1A35,Blastocystosis,category,,MMS
1A36,Amoebiasis,category,,MMS
1A62.0,Neurosyphilis,category,,MMS
1A81,Non-ulcerative sexually transmitted chlamydial infection,category,,MMS
1A81.Y,Non-ulcerative sexually transmitted chlamydial infection of other specified site,category,,MMS
1A81.Z,Non-ulcerative sexually transmitted chlamydial infection of unspecified site,category,,MMS
1A90,Chancroid,category,,MMS
1A92,Trichomoniasis,category,,MMS
1B20,Leprosy,category,,MMS
1B21.1,Non-tuberculous mycobacterial lymphadenitis,category,,MMS
1B21.Y,Non-tuberculous mycobacterial infection of other specified site,category,,MMS
1B21.Z,Non-tuberculous mycobacterial infection of unspecified site,category,,MMS
1B70.0,Erysipelas,category,,MMS
1B72,Impetigo,category,,MMS
1B72.1,Non-bullous Impetigo,category,,MMS
1B73,Ecthyma,category,,MMS
1B75.0,Furuncle,category,,MMS
1B75.1,Carbuncle,category,,MMS
1B75.2,Furunculosis,category,,MMS
1B90,Rat-bite fevers,category,,MMS
1B90.0,Spirillosis,category,,MMS
1B90.1,Streptobacillosis,category,,MMS
1B91,Leptospirosis,category,,MMS
1B92,Glanders,category,,MMS
1B93,Plague,category,,MMS
1B94,Tularaemia,category,,MMS
1B95,Brucellosis,category,,MMS
1B96,Erysipeloid,category,,MMS
1B97,Anthrax,category,,MMS
1B98,Cat-scratch disease,category,,MMS
1B99,Pasteurellosis,category,,MMS
1C10,Actinomycosis,category,,MMS
1C11,Bartonellosis,category,,MMS
1C13,Tetanus,category,,MMS
1C17,Diphtheria,category,,MMS
1C19,Legionellosis,category,,MMS
1C1A,Listeriosis,category,,MMS
1C1B,Nocardiosis,category,,MMS
1C1C.1,Waterhouse-Friderichsen syndrome,category,,MMS
1C1C.2,Meningococcaemia,category,,MMS
1C1D,Yaws,category,,MMS
1C1E,Pinta,category,,MMS
1C1J.0,Tick-borne relapsing fever,category,,MMS
1C1J.1,Louse-borne relapsing fever,category,,MMS
1C23,Trachoma,category,,MMS
1C32,Rickettsialpox,category,,MMS
1C40,Campylobacteriosis,category,,MMS
1C42,Melioidosis,category,,MMS
1C43,Actinomycetoma,category,,MMS
1C44,Non-pyogenic bacterial infections of the skin,category,,MMS
1C82,Rabies,category,,MMS
1D0Z,"Non-viral and unspecified infections of the central nervous system,unspecified",category,,MMS
1D49,Crimean-Congo haemorrhagic fever,category,,MMS
1D4Z,"Arthropod-borne viral fever,virus unspecified",category,,MMS
1D80,Mumps,category,,MMS
1.00E+70,Smallpox,category,,MMS
1.00E+71,Monkeypox,category,,MMS
1.00E+72,Cowpox,category,,MMS
1.00E+73,Vaccinia,category,,MMS
1.00E+74,Buffalopox,category,,MMS
1.00E+75,Orf,category,,MMS
1.00E+90,Varicella,category,,MMS
1.00E+91,Zoster,category,,MMS
1F02,Rubella,category,,MMS
1F03,Measles,category,,MMS
1F20,Aspergillosis,category,,MMS
1F20.1,Non-invasive Aspergillosis,category,,MMS
1F21,Basidiobolomycosis,category,,MMS
1F22,Blastomycosis,category,,MMS
1F23,Candidosis,category,,MMS
1F24,Chromoblastomycosis,category,,MMS
1F25,Coccidioidomycosis,category,,MMS
1F26,Conidiobolomycosis,category,,MMS
1F27,Cryptococcosis,category,,MMS
1F28,Dermatophytosis,category,,MMS
1F28.4,Kerion,category,,MMS
1F29,Eumycetoma,category,,MMS
1F2A,Histoplasmosis,category,,MMS
1F2B,Lobomycosis,category,,MMS
1F2C,Mucormycosis,category,,MMS
1F2D,Non-dermatophyte superficial dermatomycoses,category,,MMS
1F2E,Paracoccidioidomycosis,category,,MMS
1F2F,Phaeohyphomycosis,category,,MMS
1F2G,Pneumocystosis,category,,MMS
1F2H,Scedosporiosis,category,,MMS
1F2J,Sporotrichosis,category,,MMS
1F2K,Talaromycosis,category,,MMS
1F2L,Emmonsiosis,category,,MMS
1F50,Acanthamoebiasis,category,,MMS
1F52,Babesiosis,category,,MMS
1F54,Leishmaniasis,category,,MMS
1F55,Naegleriasis,category,,MMS
1F56,Rhinosporidiosis,category,,MMS
1F57,Toxoplasmosis,category,,MMS
1F58,Microsporidiosis,category,,MMS
1F60,Angiostrongyliasis,category,,MMS
1F61,Anisakiasis,category,,MMS
1F62,Ascariasis,category,,MMS
1F63,Capillariasis,category,,MMS
1F64,Dracunculiasis,category,,MMS
1F65,Enterobiasis,category,,MMS
1F66,Filariasis,category,,MMS
1F66.0,Loiasis,category,,MMS
1F66.1,Mansonelliasis,category,,MMS
1F67,Gnathostomiasis,category,,MMS
1F68.0,Ancylostomiasis,category,,MMS
1F68.1,Necatoriasis,category,,MMS
1F69,Oesophagostomiasis,category,,MMS
1F6A,Onchocerciasis,category,,MMS
1F6B,Strongyloidiasis,category,,MMS
1F6C,Syngamosis,category,,MMS
1F6D,Toxocariasis,category,,MMS
1F6E,Trichinosis,category,,MMS
1F6F,Trichostrongyliasis,category,,MMS
1F6G,Trichuriasis,category,,MMS
1F6H,Uncinariosis,category,,MMS
1F70,Cysticercosis,category,,MMS
1F71,Diphyllobothriasis,category,,MMS
1F72,Dipylidiasis,category,,MMS
1F73,Echinococcosis,category,,MMS
1F74,Hymenolepiasis,category,,MMS
1F75,Sparganosis,category,,MMS
1F76,Taeniasis,category,,MMS
1F80,Clonorchiasis,category,,MMS
1F81,Dicrocoeliasis,category,,MMS
1F82,Fascioliasis,category,,MMS
1F83,Fasciolopsiasis,category,,MMS
1F84,Opisthorchiasis,category,,MMS
1F85,Paragonimiasis,category,,MMS
1F86,Schistosomiasis,category,,MMS
1G00,Pediculosis,category,,MMS
1G01,Myiasis,category,,MMS
1G03,Pthiriasis,category,,MMS
1G04,Scabies,category,,MMS
1G05,Tungiasis,category,,MMS
1G06,Cimicosis,category,,MMS
